title,point
셜록: 유령신부,7.51
포인트 브레이크,8.60
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,8.75
굿 다이노,8.92
나를 잊지 말아요,6.72
유스,8.46
헤이트풀8,8.82
잡아야 산다,7.26
레버넌트: 죽음에서 돌아온 자,7.97
구스범스,8.58
그날의 분위기,7.86
오빠생각,8.50
극장판 꼬마버스 타요의 에이스 구출작전,8.81
빅쇼트,8.09
스티브 잡스,7.28
"로봇, 소리",8.25
쿵푸팬더3,8.78
세기의 매치,7.97
검사외전,8.56
최강전사 미니특공대: 영웅의 탄생,8.45
캐롤,8.68
앨빈과 슈퍼밴드: 악동 어드벤처,8.43
나쁜놈은 죽는다,6.73
드레스메이커,8.00
극장판 아이엠스타 : 꿈의 오디션!,8.58
주토피아,9.33
좋아해줘,8.60
데드풀,8.25
동주,9.18
대니쉬 걸,8.88
빌리와 용감한 녀석들: 치킨 히어로,7.78
귀향,9.33
순정,8.94
레터스 투 갓,9.08
제 5침공,6.45
남과 여,7.56
13시간,8.43
룸,9.04
갓 오브 이집트,8.02
널 기다리며,7.74
런던 해즈 폴른,8.47
엽문3: 최후의 대결,8.55
조이,7.94
일사각오,9.42
스푹스:MI5,8.02
오 마이 그랜파,8.22
배트맨 대 슈퍼맨: 저스티스의 시작,7.15
글로리데이,8.54
"헤일, 시저!",7.50
대배우,7.14
나의 그리스식 웨딩 2,8.51
포레스트: 죽음의 숲,7.52
마음이 외치고 싶어해,8.33
미스컨덕트,6.22
"날, 보러와요",8.03
클로버필드 10번지,7.47
독수리 에디,8.96
33,8.96
트럼보,8.76
라스트 홈,9.17
해어화,8.23
시간이탈자,7.88
헌츠맨: 윈터스 워,7.53
극장판 프랭키와 친구들: 생명의 나무,8.59
4등,8.72
트리플 9,6.21
브루클린,8.39
파라노말 액티비티: 더 고스트 디멘션,6.48
위대한 소원,8.19
캡틴 아메리카: 시빌 워,8.83
태양 아래,8.53
시크릿 인 데어 아이즈,7.44
탐정 홍길동: 사라진 마을,8.24
매직브러시,7.71
다이노소어 어드벤처 : 백악기 공룡대백과,7.29
극장판 안녕 자두야,7.99
다이노X 탐험대,6.99
45년 후,8.16
나의 소녀시대,9.50
곡성,8.23
엽기적인 그녀 2,5.55
다이버전트 시리즈: 얼리전트,8.25
계춘할망,8.62
싱 스트리트,9.00
앵그리버드 더 무비,8.96
하드코어 헨리,6.77
동급생,9.51
몽키킹2: 서유기 여정의 시작,7.50
엑스맨: 아포칼립스,8.24
오베라는 남자,9.05
썸니아,7.67
아가씨,7.69
미 비포 유,8.78
무서운 이야기 3 : 화성에서 온 소녀,4.97
더 보이,6.50
바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,8.37
플래그 더 문,8.19
워크래프트: 전쟁의 서막,8.67
컨저링 2,8.34
본 투 비 블루,8.85
극장판 유희왕 더 다크 사이드 오브 디멘션즈,9.00
특별수사: 사형수의 편지,8.54
닌자터틀 : 어둠의 히어로,7.91
불의 전차,8.58
인디펜던스 데이 : 리써전스,7.34
비밀은 없다,7.00
굿바이 싱글,8.42
사냥,5.92
레전드 오브 타잔,8.03
도리를 찾아서,8.62
봉이 김선달,8.26
잔예 - 살아서는 안되는 방,5.38
나우 유 씨 미 2,8.53
언더 워터,8.24
데몰리션,8.43
트릭,6.40
더 웨이브,7.71
나의 산티아고,8.26
부산행,8.59
아이스 에이지: 지구 대충돌,8.06
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,8.42
인천상륙작전,8.55
태풍이 지나가고,8.66
제이슨 본,8.31
수어사이드 스쿼드,7.60
마이펫의 이중생활,9.00
덕혜옹주,8.72
명탐정 코난: 순흑의 악몽,9.02
국가대표 2,8.79
슈퍼 프렌즈,8.69
마이 리틀 자이언트,8.03
서울역,5.27
갤럭시 히어로즈: 라쳇 앤 클랭크,7.92
스타트렉 비욘드,8.47
파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,7.93
라이트 아웃,7.71
플로렌스,8.58
올레,8.38
메카닉: 리크루트,7.67
머니 몬스터,8.42
이퀄스,8.13
거울나라의 앨리스,8.47
"고산자, 대동여지도",8.01
밀정,8.57
장난감이 살아있다,8.00
달빛궁궐,7.77
인천상륙작전 : 익스텐디드 에디션(확장판),9.14
드림 쏭,8.53
매그니피센트 7,8.05
벤허,9.37
카페 소사이어티,8.05
아이엠스타 뮤직어워드,7.68
아이 엠 어 히어로,7.56
대결,6.85
뉴 스텝업: 어반댄스,6.91
브리짓 존스의 베이비,9.10
설리: 허드슨강의 기적,8.92
미스 페레그린과 이상한 아이들의 집,8.58
아수라,6.54
피터와 드래곤,8.43
바다 탐험대 옥토넛 시즌4: 늪지탐험선K,8.52
립반윙클의 신부,7.79
백설공주 : 사라진 아빠를 찾아서,7.54
맨 인 더 다크,8.43
디시에르토,9.33
죽여주는 여자,8.44
그물,8.37
