,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,openYr
14684,5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,399974678,11.2,54954778,15.9,7746498278,49794,3666,7.9,993249,575,2276,2016
14724,5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,158303400,7.7,-11568900,-6.8,9425370649,21212,-1390,-6.1,1205017,498,1745,2016
14797,8,8,2,OLD,20157042,셜록: 유령신부,2016-01-02,27828400,1.5,-1645100,-5.6,9916693149,3768,-194,-4.9,1268807,214,373,2016
14714,5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,169872300,8.2,-423412900,-71.4,9267067249,22602,-51689,-69.6,1183805,513,1789,2016
14806,7,7,1,OLD,20157042,셜록: 유령신부,2016-01-02,31869900,1.8,4041500,14.5,9948563049,4280,512,13.6,1273087,217,384,2016
14747,8,8,-3,OLD,20157042,셜록: 유령신부,2016-01-02,47754400,1.6,-102344400,-68.2,9623223849,6440,-13631,-67.9,1231528,225,436,2016
14756,7,7,1,OLD,20157042,셜록: 유령신부,2016-01-02,60361500,1.9,12607100,26.4,9683585349,7859,1419,22.0,1239387,227,448,2016
14789,10,10,-1,OLD,20157042,셜록: 유령신부,2016-01-02,29473500,1.5,-51515000,-63.6,9888864749,3962,-6082,-60.6,1265039,209,364,2016
14704,5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,593285200,8.7,-164126271,-21.7,9097194949,74291,-19372,-20.7,1161203,534,1945,2016
14734,5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,150098800,7.6,-8204600,-5.2,9575469449,20071,-1141,-5.4,1225088,495,1682,2016
14768,9,9,-2,OLD,20157042,셜록: 유령신부,2016-01-02,94817400,1.4,34455900,57.1,9778402749,11646,3787,48.2,1251033,229,403,2016
14778,9,9,0,OLD,20157042,셜록: 유령신부,2016-01-02,80988500,1.3,-13828900,-14.6,9859391249,10044,-1602,-13.8,1261077,225,372,2016
14662,3,3,0,OLD,20157042,셜록: 유령신부,2016-01-02,463892500,18.7,-84429900,-15.4,7001503700,62132,-11601,-15.7,897327,712,3006,2016
14652,3,3,-1,OLD,20157042,셜록: 유령신부,2016-01-02,548322400,19.7,-169988800,-23.7,6537611200,73733,-22567,-23.4,835195,747,3067,2016
14641,2,2,0,OLD,20157042,셜록: 유령신부,2016-01-02,718311200,23.3,-1416307200,-66.3,5989288800,96300,-172638,-64.2,761462,736,3131,2016
14631,2,2,0,OLD,20157042,셜록: 유령신부,2016-01-02,2134618400,24.9,-1001740800,-31.9,5270977600,268938,-127286,-32.1,665162,891,3376,2016
14621,2,2,0,NEW,20157042,셜록: 유령신부,2016-01-02,3136359200,26.5,3136359200,100.0,3136359200,396224,396224,100.0,396224,831,3256,2016
14674,5,5,-2,OLD,20157042,셜록: 유령신부,2016-01-02,345019900,10.6,-118872600,-25.6,7346523600,46128,-16004,-25.8,943455,563,2296,2016
14694,5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,757411471,10.2,357436793,89.4,8503909749,93663,43869,88.1,1086912,566,2083,2016
14767,8,8,0,OLD,20153087,포인트 브레이크,2016-01-07,96040200,1.4,40169700,71.9,2116469151,11718,4797,69.3,267878,229,542,2016
14766,7,7,3,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,123530700,1.8,86925500,237.5,1105675400,16729,11734,234.9,152254,247,356,2016
14888,9,9,-2,OLD,20155422,굿 다이노,2016-01-07,24433400,0.9,-63152700,-72.1,9506845738,3590,-10466,-74.5,1294868,184,273,2016
14796,7,7,2,OLD,20153087,포인트 브레이크,2016-01-07,33830800,1.8,3368000,11.1,2275527451,4449,439,10.9,287909,224,482,2016
14759,10,10,1,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,36605200,1.1,924600,2.6,982144700,4995,-89,-1.8,135525,224,297,2016
14758,9,9,0,OLD,20142641,나를 잊지 말아요,2016-01-07,47153000,1.5,2032800,4.5,3178154100,5823,-224,-3.7,397589,280,612,2016
14757,8,8,2,OLD,20153087,포인트 브레이크,2016-01-07,55870500,1.7,10526100,23.2,2020428951,6921,998,16.8,256160,243,602,2016
14832,3,3,1,OLD,20155422,굿 다이노,2016-01-07,507794170,9.3,342027802,206.3,8792903938,68362,44421,185.5,1195466,505,1209,2016
14898,9,9,0,OLD,20155422,굿 다이노,2016-01-07,25179200,0.8,745800,3.1,9532024938,3573,-17,-0.5,1298441,186,268,2016
14749,10,10,-4,OLD,20153087,포인트 브레이크,2016-01-07,45344400,1.5,-86735400,-65.7,1964558451,5923,-11499,-66.0,249239,233,583,2016
14748,9,9,-5,OLD,20142641,나를 잊지 말아요,2016-01-07,45120200,1.5,-150224700,-76.9,3131001100,6047,-19788,-76.6,391766,278,600,2016
14761,2,2,1,OLD,20155422,굿 다이노,2016-01-07,910545100,13.5,612427400,205.4,6654157100,121503,79078,186.4,900405,612,1714,2016
14771,2,2,0,OLD,20155422,굿 다이노,2016-01-07,852775200,13.7,-57769900,-6.3,7506932300,112549,-8954,-7.4,1012954,612,1704,2016
14783,4,4,-2,OLD,20155422,굿 다이노,2016-01-07,152446400,7.8,-700328800,-82.1,7659378700,21813,-90736,-80.6,1034767,509,1380,2016
14777,8,8,0,OLD,20153087,포인트 브레이크,2016-01-07,94764700,1.5,-1275500,-1.3,2211233851,11572,-146,-1.2,279450,229,524,2016
14823,4,4,0,OLD,20155422,굿 다이노,2016-01-07,165766368,6.5,21555068,14.9,8285109768,23941,2226,10.3,1127104,435,931,2016
14842,3,3,0,OLD,20155422,굿 다이노,2016-01-07,422508100,9.0,-85286070,-16.8,9215412038,55458,-12904,-18.9,1250924,504,1191,2016
14813,4,4,0,OLD,20155422,굿 다이노,2016-01-07,144211300,6.8,-11935700,-7.6,8119343400,21715,-1476,-6.4,1103163,411,903,2016
14855,6,6,-3,OLD,20155422,굿 다이노,2016-01-07,85498900,5.4,-337009200,-79.8,9300910938,12315,-43143,-77.8,1263239,422,947,2016
14809,10,10,1,OLD,20142641,나를 잊지 말아요,2016-01-07,23794300,1.3,2044000,9.4,3384787000,3175,263,9.0,423372,231,441,2016
