,movieCd,movieNm,point
0,20112207,미션임파서블:고스트프로토콜,8.23
1,20110295,마이 웨이,8.23
2,20112621,셜록홈즈 : 그림자 게임,8.23
3,20113260,퍼펙트 게임,8.23
4,20113271,프렌즈: 몬스터섬의비밀 ,8.23
5,19940256,라이온 킹,8.23
6,20113381,오싹한 연애,8.23
7,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,8.23
8,20113311,앨빈과 슈퍼밴드3,8.23
9,20112708,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,8.23
41,20113671,원더풀 라디오,8.23
45,20113652,다크아워,8.23
89,20113636,네버엔딩 스토리,8.23
99,20113643,파파,8.23
102,20113862,장화신은 고양이,8.23
106,20110882,밀레니엄 : 여자를 증오한 남자들,8.23
117,20113883,초한지 - 천하대전,8.23
118,20113811,코알라 키드 : 영웅의 탄생,8.23
171,20113743,댄싱퀸,8.23
172,20113535,부러진 화살,8.23
174,20113951,페이스메이커,8.23
177,20113472,우리는 동물원을 샀다,8.23
179,20112945,여성다큐멘터리스트-반이다1,8.23
181,20113653,잃어버린 세계를 찾아서 2: 신비의 섬,8.23
253,20100215,점박이:한반도의 공룡3D,8.23
320,20113557,범죄와의 전쟁: 나쁜놈들 전성시대,8.23
325,20113911,해피 피트 2,8.23
327,20113881,하이힐을 신고 달리는 여자,8.23
394,20124134,팅커 테일러 솔저 스파이,8.23
395,20124099,워 호스,8.23
396,19990216,스타워즈:에피소드1 보이지 않는 위험 ,8.23
397,20113920,토르: 마법망치의 전설,8.23
439,20113975,우먼 인 블랙,8.23
460,20110249,하울링,8.23
462,20124021,더 그레이,8.23
467,20113890,고스트 라이더 : 복수의 화신,8.23
522,20124420,맨 온 렛지,8.23
524,20124746,언더월드 4: 어웨이크닝,8.23
529,20113982,레전드 오브 래빗,8.23
536,20113912,철의 여인,8.23
590,20113916,러브픽션,8.23
592,20124096,디스 민즈 워,8.23
597,20124609,액트 오브 밸러: 최정예 특수부대 ,8.23
598,20124449,세이프 하우스,8.23
599,20124738,돌아온 파워레인저 미라클포스,8.23
619,20113918,아티스트,8.23
629,20124551,휴고,8.23
659,20111774,가비,8.23
668,20124629,존 카터: 바숨 전쟁의 서막 ,8.23
670,20124050,화차,8.23
696,20124726,스탠리의 도시락 ,8.23
725,20124074,건축학개론,8.23
731,20124874,서약,8.23
741,20124666,크로니클,8.23
748,20124932,저스티스,8.23
759,20112808,말하는 건축가,8.23
789,20124051,시체가 돌아왔다,8.23
812,20124142,언터처블: 1%의 우정,8.23
817,20124873,콘트라밴드,8.23
838,20124939,스페이스 독,8.23
881,20124717,타이탄의 분노,8.23
888,20124127,헝거게임: 판엠의 불꽃,8.23
927,20068590,인류멸망 보고서,8.23
935,20124032,간기남,8.23
946,20100752,달팽이의 별,8.23
954,19980074,타이타닉,8.23
957,20125106,코난: 암흑의 시대,8.23
958,20111416,두레소리,8.23
968,20101371,종착역,8.23
1001,20112134,배틀쉽,8.23
1009,20113556,"봄, 눈",8.23
